"","h_country","h_rank","h_score","gdp_capita","life_exp","freedom","h_year","country"
"54","Kazakhstan",54,5.855,1.12254,0.64368,0.51649,2015,"Kazakhstan"
"55","Slovenia",55,5.848,1.18498,0.87337,0.60855,2015,"Slovenia"
"56","Lithuania",56,5.833,1.14723,0.73128,0.21342,2015,"Lithuania"
"57","Nicaragua",57,5.828,0.59325,0.74314,0.55475,2015,"Nicaragua"
"58","Peru",58,5.824,0.90019,0.73017,0.41496,2015,"Peru"
"59","Belarus",59,5.813,1.03192,0.73608,0.37938,2015,"Belarus"
"60","Poland",60,5.791,1.12555,0.77903,0.53122,2015,"Poland"
"61","Malaysia",61,5.77,1.12486,0.72394,0.53024,2015,"Malaysia"
"62","Croatia",62,5.759,1.08254,0.78805,0.25883,2015,"Croatia"
"63","Libya",63,5.754,1.13145,0.7038,0.41668,2015,"Libya"
"64","Russia",64,5.716,1.13764,0.66926,0.36679,2015,"Russia"
"65","Jamaica",65,5.709,0.81038,0.68741,0.50442,2015,"Jamaica"
"66","North Cyprus",66,5.695,1.20806,0.92356,0.49027,2015,"North Cyprus"
"67","Cyprus",67,5.689,1.20813,0.92356,0.40672,2015,"Cyprus"
"68","Algeria",68,5.605,0.93929,0.61766,0.28579,2015,"Algeria"
"69","Kosovo",69,5.589,0.80148,0.63132,0.24749,2015,"Kosovo"
"70","Turkmenistan",70,5.548,0.95847,0.53886,0.4761,2015,"Turkmenistan"
"71","Mauritius",71,5.477,1.00761,0.7095,0.56066,2015,"Mauritius"
"72","Hong Kong",72,5.474,1.38604,1.01328,0.59608,2015,"Hong Kong"
"73","Estonia",73,5.429,1.15174,0.77361,0.44888,2015,"Estonia"
"74","Indonesia",74,5.399,0.82827,0.63793,0.46611,2015,"Indonesia"
"75","Vietnam",75,5.36,0.63216,0.74676,0.59444,2015,"Vietnam"
"76","Turkey",76,5.332,1.06098,0.73172,0.22815,2015,"Turkey"
"77","Kyrgyzstan",77,5.286,0.47428,0.65088,0.43477,2015,"Kyrgyzstan"
"78","Nigeria",78,5.268,0.65435,0.16007,0.34334,2015,"Nigeria"
"79","Bhutan",79,5.253,0.77042,0.57407,0.53206,2015,"Bhutan"
"80","Azerbaijan",80,5.212,1.02389,0.64045,0.3703,2015,"Azerbaijan"
"81","Pakistan",81,5.194,0.59543,0.51466,0.12102,2015,"Pakistan"
"82","Jordan",82,5.192,0.90198,0.69639,0.40661,2015,"Jordan"
"83","Montenegro",82,5.192,0.97438,0.72521,0.1826,2015,"Montenegro"
"84","China",84,5.14,0.89012,0.81658,0.51697,2015,"China"
"85","Zambia",85,5.129,0.47038,0.29924,0.48827,2015,"Zambia"
"86","Romania",86,5.124,1.04345,0.7689,0.35068,2015,"Romania"
"87","Serbia",87,5.123,0.92053,0.74836,0.20107,2015,"Serbia"
"88","Portugal",88,5.102,1.15991,0.87519,0.51469,2015,"Portugal"
"89","Latvia",89,5.098,1.11312,0.72437,0.29671,2015,"Latvia"
"90","Philippines",90,5.073,0.70532,0.58114,0.62545,2015,"Philippines"
"91","Somaliland region",91,5.057,0.18847,0.43873,0.46582,2015,"Somaliland region"
"92","Morocco",92,5.013,0.73479,0.60954,0.41691,2015,"Morocco"
"93","Macedonia",93,5.007,0.91851,0.73545,0.33457,2015,"Macedonia"
"94","Mozambique",94,4.971,0.08308,0.09131,0.34037,2015,"Mozambique"
"95","Albania",95,4.959,0.87867,0.81325,0.35733,2015,"Albania"
"96","Bosnia and Herzegovina",96,4.949,0.83223,0.79081,0.09245,2015,"Bosnia and Herzegovina"
"97","Lesotho",97,4.898,0.37545,0.07612,0.31767,2015,"Lesotho"
"98","Dominican Republic",98,4.885,0.89537,0.66825,0.57672,2015,"Dominican Republic"
"99","Laos",99,4.876,0.59066,0.54909,0.59591,2015,"Laos"
"100","Mongolia",100,4.874,0.82819,0.60268,0.43626,2015,"Mongolia"
"101","Swaziland",101,4.867,0.71206,0.07566,0.30658,2015,"Swaziland"
"102","Greece",102,4.857,1.15406,0.88213,0.07699,2015,"Greece"
"103","Lebanon",103,4.839,1.02564,0.83947,0.33916,2015,"Lebanon"
"104","Hungary",104,4.8,1.12094,0.75905,0.32112,2015,"Hungary"
"105","Honduras",105,4.788,0.59532,0.6951,0.40148,2015,"Honduras"
"106","Tajikistan",106,4.786,0.39047,0.57379,0.47216,2015,"Tajikistan"
"107","Tunisia",107,4.739,0.88113,0.73793,0.26268,2015,"Tunisia"
"108","Palestinian Territories",108,4.715,0.59867,0.66015,0.24499,2015,"Palestinian Territories"
"109","Bangladesh",109,4.694,0.39753,0.60164,0.4082,2015,"Bangladesh"
"110","Iran",110,4.686,1.0088,0.69805,0.30033,2015,"Iran"
"111","Ukraine",111,4.681,0.79907,0.6739,0.25123,2015,"Ukraine"
"112","Iraq",112,4.677,0.98549,0.60237,0,2015,"Iraq"
"113","South Africa",113,4.642,0.92049,0.27688,0.33207,2015,"South Africa"
"114","Ghana",114,4.633,0.54558,0.40132,0.42342,2015,"Ghana"
"115","Zimbabwe",115,4.61,0.271,0.33475,0.25861,2015,"Zimbabwe"
"116","Liberia",116,4.571,0.0712,0.34201,0.28531,2015,"Liberia"
"117","India",117,4.565,0.64499,0.51529,0.39786,2015,"India"
"118","Sudan",118,4.55,0.52107,0.36878,0.10081,2015,"Sudan"
"119","Haiti",119,4.518,0.26673,0.38847,0.24425,2015,"Haiti"
"120","Congo (Kinshasa)",120,4.517,0,0.09806,0.22605,2015,"Congo (Kinshasa)"
"121","Nepal",121,4.514,0.35997,0.56874,0.38282,2015,"Nepal"
"122","Ethiopia",122,4.512,0.19073,0.44055,0.4345,2015,"Ethiopia"
